"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Drake","3TVXtAsR1Inumwj472S9r4","1LShhEEKRT5MNPcO7jtYHh","album","2009",2009,"year",0.462,0.422,6,-10.381,1,0.175,0.939,0.0327,0.108,0.0853,87.364,"1v24T2ug4TlssYZvI3aL4O","https://api.spotify.com/v1/audio-analysis/1v24T2ug4TlssYZvI3aL4O",4,1,176179,TRUE,"https://api.spotify.com/v1/tracks/1v24T2ug4TlssYZvI3aL4O",FALSE,"Lust For Life",NA,1,"track","spotify:track:1v24T2ug4TlssYZvI3aL4O","https://open.spotify.com/track/1v24T2ug4TlssYZvI3aL4O","So Far Gone","F#","major","F# major"
"Drake","3TVXtAsR1Inumwj472S9r4","1LShhEEKRT5MNPcO7jtYHh","album","2009",2009,"year",0.683,0.695,1,-6.798,0,0.0574,0.393,0.00124,0.124,0.406,135.337,"3XLSlQLJf3Ut0zvMUxnF1h","https://api.spotify.com/v1/audio-analysis/3XLSlQLJf3Ut0zvMUxnF1h",4,1,290791,TRUE,"https://api.spotify.com/v1/tracks/3XLSlQLJf3Ut0zvMUxnF1h",FALSE,"Houstatlantavegas",NA,2,"track","spotify:track:3XLSlQLJf3Ut0zvMUxnF1h","https://open.spotify.com/track/3XLSlQLJf3Ut0zvMUxnF1h","So Far Gone","C#","minor","C# minor"
"Drake","3TVXtAsR1Inumwj472S9r4","1LShhEEKRT5MNPcO7jtYHh","album","2009",2009,"year",0.562,0.544,8,-5.065,1,0.369,0.536,0,0.17,0.231,159.517,"6NwhtCYkfwWlcR62Ac4E7y","https://api.spotify.com/v1/audio-analysis/6NwhtCYkfwWlcR62Ac4E7y",4,1,375050,TRUE,"https://api.spotify.com/v1/tracks/6NwhtCYkfwWlcR62Ac4E7y",FALSE,"Successful (feat. Trey Songz & Lil Wayne)",NA,3,"track","spotify:track:6NwhtCYkfwWlcR62Ac4E7y","https://open.spotify.com/track/6NwhtCYkfwWlcR62Ac4E7y","So Far Gone","G#","major","G# major"
"Drake","3TVXtAsR1Inumwj472S9r4","1LShhEEKRT5MNPcO7jtYHh","album","2009",2009,"year",0.79,0.731,9,-4.607,0,0.0327,0.00427,0.29,0.157,0.938,127.403,"4FDSPGncHRpr6yB8DD4CtI","https://api.spotify.com/v1/audio-analysis/4FDSPGncHRpr6yB8DD4CtI",4,1,234175,TRUE,"https://api.spotify.com/v1/tracks/4FDSPGncHRpr6yB8DD4CtI",FALSE,"Let’s Call It Off (feat. Peter Bjorn and John)",NA,4,"track","spotify:track:4FDSPGncHRpr6yB8DD4CtI","https://open.spotify.com/track/4FDSPGncHRpr6yB8DD4CtI","So Far Gone","A","minor","A minor"
"Drake","3TVXtAsR1Inumwj472S9r4","1LShhEEKRT5MNPcO7jtYHh","album","2009",2009,"year",0.749,0.476,11,-11.147,0,0.507,0.579,0,0.1,0.534,71.937,"0JaVdpmiex2EP7bBzyKVTa","https://api.spotify.com/v1/audio-analysis/0JaVdpmiex2EP7bBzyKVTa",4,1,188189,TRUE,"https://api.spotify.com/v1/tracks/0JaVdpmiex2EP7bBzyKVTa",FALSE,"November 18th",NA,5,"track","spotify:track:0JaVdpmiex2EP7bBzyKVTa","https://open.spotify.com/track/0JaVdpmiex2EP7bBzyKVTa","So Far Gone","B","minor","B minor"
"Drake","3TVXtAsR1Inumwj472S9r4","1LShhEEKRT5MNPcO7jtYHh","album","2009",2009,"year",0.591,0.846,7,-3.687,1,0.276,0.186,0,0.463,0.121,94.795,"2hcohLIysMxofYziluXCoX","https://api.spotify.com/v1/audio-analysis/2hcohLIysMxofYziluXCoX",4,1,302492,TRUE,"https://api.spotify.com/v1/tracks/2hcohLIysMxofYziluXCoX",FALSE,"Ignant Shit (feat. Lil Wayne)",NA,6,"track","spotify:track:2hcohLIysMxofYziluXCoX","https://open.spotify.com/track/2hcohLIysMxofYziluXCoX","So Far Gone","G","major","G major"
"Drake","3TVXtAsR1Inumwj472S9r4","1LShhEEKRT5MNPcO7jtYHh","album","2009",2009,"year",0.611,0.508,11,-5.573,0,0.0741,0.374,3.87e-06,0.168,0.368,103.612,"3lkkkYc1wBj5l3FVlpqvP6","https://api.spotify.com/v1/audio-analysis/3lkkkYc1wBj5l3FVlpqvP6",4,1,193962,TRUE,"https://api.spotify.com/v1/tracks/3lkkkYc1wBj5l3FVlpqvP6",FALSE,"A Night Off (feat. Lloyd)",NA,7,"track","spotify:track:3lkkkYc1wBj5l3FVlpqvP6","https://open.spotify.com/track/3lkkkYc1wBj5l3FVlpqvP6","So Far Gone","B","minor","B minor"
"Drake","3TVXtAsR1Inumwj472S9r4","1LShhEEKRT5MNPcO7jtYHh","album","2009",2009,"year",0.462,0.773,8,-5.375,1,0.288,0.632,0,0.212,0.455,86.157,"7mPoCVGP752A5DtHf1SKkM","https://api.spotify.com/v1/audio-analysis/7mPoCVGP752A5DtHf1SKkM",4,1,230717,TRUE,"https://api.spotify.com/v1/tracks/7mPoCVGP752A5DtHf1SKkM",FALSE,"Say What's Real",NA,8,"track","spotify:track:7mPoCVGP752A5DtHf1SKkM","https://open.spotify.com/track/7mPoCVGP752A5DtHf1SKkM","So Far Gone","G#","major","G# major"
"Drake","3TVXtAsR1Inumwj472S9r4","1LShhEEKRT5MNPcO7jtYHh","album","2009",2009,"year",0.758,0.888,11,-4.899,0,0.0374,0.0999,0.0336,0.661,0.771,120.392,"524wvipGqxPKYWxkjf9y46","https://api.spotify.com/v1/audio-analysis/524wvipGqxPKYWxkjf9y46",4,1,230484,TRUE,"https://api.spotify.com/v1/tracks/524wvipGqxPKYWxkjf9y46",FALSE,"Little Bit (feat. Lykke Li)",NA,9,"track","spotify:track:524wvipGqxPKYWxkjf9y46","https://open.spotify.com/track/524wvipGqxPKYWxkjf9y46","So Far Gone","B","minor","B minor"
"Drake","3TVXtAsR1Inumwj472S9r4","1LShhEEKRT5MNPcO7jtYHh","album","2009",2009,"year",0.395,0.922,1,-2.176,1,0.375,0.19,0,0.134,0.558,162.361,"3QLjDkgLh9AOEHlhQtDuhs","https://api.spotify.com/v1/audio-analysis/3QLjDkgLh9AOEHlhQtDuhs",4,1,257690,TRUE,"https://api.spotify.com/v1/tracks/3QLjDkgLh9AOEHlhQtDuhs",FALSE,"Best I Ever Had",NA,10,"track","spotify:track:3QLjDkgLh9AOEHlhQtDuhs","https://open.spotify.com/track/3QLjDkgLh9AOEHlhQtDuhs","So Far Gone","C#","major","C# major"
"Drake","3TVXtAsR1Inumwj472S9r4","1LShhEEKRT5MNPcO7jtYHh","album","2009",2009,"year",0.774,0.912,2,-2.787,0,0.347,0.165,0,0.745,0.821,150.083,"2TWSilrWcTrgVKcP8kfEfg","https://api.spotify.com/v1/audio-analysis/2TWSilrWcTrgVKcP8kfEfg",4,1,209957,TRUE,"https://api.spotify.com/v1/tracks/2TWSilrWcTrgVKcP8kfEfg",FALSE,"Unstoppable (feat. Santigold & Lil Wayne)",NA,11,"track","spotify:track:2TWSilrWcTrgVKcP8kfEfg","https://open.spotify.com/track/2TWSilrWcTrgVKcP8kfEfg","So Far Gone","D","minor","D minor"
"Drake","3TVXtAsR1Inumwj472S9r4","1LShhEEKRT5MNPcO7jtYHh","album","2009",2009,"year",0.416,0.824,1,-3.075,1,0.343,0.00391,0,0.104,0.417,85.433,"0q7LGcVSpsIoSbjChtZ8lI","https://api.spotify.com/v1/audio-analysis/0q7LGcVSpsIoSbjChtZ8lI",5,1,382262,TRUE,"https://api.spotify.com/v1/tracks/0q7LGcVSpsIoSbjChtZ8lI",FALSE,"Uptown (feat. Bun B & Lil Wayne)",NA,12,"track","spotify:track:0q7LGcVSpsIoSbjChtZ8lI","https://open.spotify.com/track/0q7LGcVSpsIoSbjChtZ8lI","So Far Gone","C#","major","C# major"
